service_id,date,exception_type
3_merged_2831810,20210101,1
3_merged_2831810,20201225,1
1_merged_2831806,20201126,2
1_merged_2831806,20200907,2
3_merged_2831807,20201126,1
3_merged_2831807,20200907,1
1_merged_2831809,20210101,2
1_merged_2831809,20201225,2
